Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,16.27332249,7.706634265,7.616322586,7.363823423,6.831958142,5.89060786,5.069337281,4.964966852,4.427067991,4.492321849,4.227787564,4.058720196,4.444551782,5.112528791,2.495061579,2.208810958,2.267308184,1.922318417,1.690396854,2.075661108,2.00221294,1.979152145,2.042393823,2.159043809,2.537698235,2.285628262,2.148756103,2.146308105,1.981240266
Georgia,4.356741067,3.719947917,4.216426273,3.442938056,0.779674185,-0.553135974,-1.008098655,-1.091006389,-1.195517416,-1.649984479,-1.390035764,2.500397063,2.20571258,2.011883444,1.586228434,1.366439088,1.177473948,0.970226494,0.703395562,0.90555849,0.774288045,0.951848799,0.925498966,0.933706733,0.943438857,1.13481718,1.148479546,1.058307451,0.960243636
Germany,0.626711864,0.577374332,0.484511737,0.494835749,0.457651584,0.387949807,0.413168,0.450190045,0.432410714,0.426557078,0.476659794,0.501654639,0.461236715,0.381464,0.332309609,0.319084211,0.306314381,0.259298246,0.238463807,0.244797059,0.253814706,0.220144385,0.237240793,0.229142091,0.209904639,0.243517857,0.236512968,0.218255435,0.196113636
Ghana,3.886792408,3.510928191,3.723162824,4.08631492,4.564188281,3.931857528,3.802459718,4.029713605,4.187960222,3.930380276,6.253230458,12.46869666,10.97897753,8.961786761,7.582164811,6.494379647,3.477832399,2.883456061,2.493488034,2.799819453,2.327526324,1.57179005,1.569384581,1.084201485,1.271516305,1.459285465,0.298674431,0.305602894,0.298978907
Greece,0.964745597,0.90047619,0.833017241,0.889908257,0.851452991,0.759343066,0.719863014,0.742727273,0.767013889,0.778811189,0.900384615,0.863455882,0.765,0.599653465,0.500995851,0.495282258,0.443992674,0.391886792,0.340988701,0.344878788,0.35819398,0.372118056,0.414674797,0.393208333,0.385274262,0.454720812,0.452871795,0.430980392,0.395137615
Grenada,6.616354493,6.18437643,6.190344504,6.165025433,5.936419136,5.728104658,5.423652035,5.15055699,4.6198327,4.294522324,3.980429593,4.035014821,3.941984894,3.63778856,3.57191385,3.105431308,3.134389451,2.912940283,2.711943083,3.591453117,2.931207698,2.915279938,3.012943434,2.753316672,2.479436565,2.296872412,2.17589682,2.069850462,2.019344126
Guatemala,3.760722757,3.10862175,2.922178069,2.742996303,2.433137706,2.23057645,2.117406575,1.891509297,1.934985718,1.977245599,2.007379696,1.893833823,1.75343146,1.739254958,1.54807315,1.442043886,1.27649371,1.179018949,0.993958658,1.073578707,0.974405912,0.73151103,0.705717129,0.694573638,0.654251167,0.656898296,0.571958659,0.51681028,0.529280365
Guinea,7.89389946,7.088151132,6.60653748,6.730580614,6.647515432,6.199655919,5.779222925,6.025706694,6.763505166,6.887620822,8.105867791,8.931108668,8.96549797,7.741317666,7.349830206,9.601399706,6.763002336,4.603689762,4.241705903,4.467831825,4.711483393,4.990319154,4.630765965,4.251121117,4.137393537,4.218688418,4.765031603,3.981725992,3.774565737
Guinea-Bissau,13.73164696,13.06628471,15.02341151,14.47985519,14.684659,13.74194707,11.61157668,11.84132632,16.516713,16.7968636,9.373974156,9.296487991,9.071181241,8.126359035,7.329960052,6.558448809,6.98892607,5.954850943,4.503805554,4.806496533,4.859518589,3.682425273,4.528586159,4.062757975,4.123552457,4.378811544,3.706515425,3.251425246,3.043455106
Guyana,24.18161601,28.14653799,26.23314935,21.88938504,18.9137994,17.72767881,16.13255343,15.64464737,16.55678326,17.18591476,16.31896154,17.38354907,16.89776728,16.88952594,16.43788225,15.25069296,5.206279642,4.650364175,4.244362354,4.065500533,3.824739704,5.650995887,5.193091937,5.098610972,5.19664349,5.039907608,4.202826688,3.98258334,3.993620383
Haiti,1.656821658,1.54021519,2.551922691,2.875018565,2.260602021,2.022526266,2.053300148,1.907791764,1.748162912,1.600968247,1.036591367,1.145342538,1.241225466,1.523927422,1.247210484,1.075184276,1.02985808,0.863033754,0.776008398,0.718733677,0.740894089,0.739502364,0.68276654,0.665605376,0.676773614,0.695950141,0.767309946,0.741532116,0.661419149
